Stations_id,von,bis,hoehe,geoBreite,geoLaenge,Stationsname,Bundesland,Landkreis
3268,20131001,20210307,900,48.1694,8.9433,Meßstetten-Appental,Baden-Württemberg,Zollernalbkreis
3271,20041013,20210308,314,48.8548,12.9189,Metten,Bayern,Landkreis Deggendorf
3278,20030101,20210308,354,48.5377,9.2734,Metzingen,Baden-Württemberg,Landkreis Reutlingen
3284,20050406,20210307,240,49.6691,9.0085,Michelstadt,Hessen,Odenwaldkreis
3287,19910102,20210307,453,49.7177,9.0997,Michelstadt-Vielbrunn,Hessen,Odenwaldkreis
3289,20041101,20210308,356,50.7281,11.7838,Schmieritz-Weltwitz,Thüringen,Saale-Orla-Kreis
3307,20080128,20210308,984,47.4779,11.2653,Mittenwald-Buckelwiesen,Bayern,Landkreis Garmisch-Partenkirchen
3319,20060901,20210308,239,49.7644,9.253,Röllbach,Bayern,Landkreis Miltenberg
3340,20050501,20210308,265,50.4383,7.8061,Montabaur,Rheinland-Pfalz,Westerwaldkreis
3348,20040421,20210308,240,51.7209,9.8352,Moringen-Lutterbeck,Niedersachsen,Landkreis Northeim
3362,20060621,20210307,243,48.9721,8.8735,Mühlacker,Baden-Württemberg,Enzkreis
3366,19890307,20210307,406,48.279,12.5024,Mühldorf,Bayern,Landkreis Mühldorf am Inn
3376,20031219,20210307,63,52.5176,14.1232,Müncheberg,Brandenburg,Märkisch-Oderland
3379,19970712,20210307,515,48.1632,11.5429,München-Stadt,Bayern,München
3402,20020904,20210308,750,48.3851,9.4837,Münsingen-Apfelstetten,Baden-Württemberg,Landkreis Reutlingen
3426,20021218,20210308,127,51.566,14.7008,"Muskau, Bad",Sachsen,Görlitz
3442,20041001,20210308,149,50.3574,8.7506,"Nauheim, Bad",Hessen,Wetteraukreis
3478,19911102,20050228,81,53.5468,13.1914,Neubrandenburg,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte
3485,20041122,20210307,486,48.3115,10.3773,Neuburg/Kammel-Langenhaslach,Bayern,Landkreis Günzburg
3490,20030707,20210308,111,50.5346,7.0853,"Neuenahr, Bad-Ahrweiler",Rheinland-Pfalz,Landkreis Ahrweiler
3509,20041001,20210308,77,53.102,13.0421,Menz,Brandenburg,Oberhavel
3513,19911103,20210307,845,50.5002,11.1344,Neuhaus am Rennweg,Thüringen,Landkreis Sonneberg
